X,Y,AGEB
-96.7739036198835,16.9672159097896,2002300010036
-96.7741854601338,16.9673097098418,2002300010036
-96.7745089502716,16.967494199607,2002300010036
-96.7748150604101,16.9676629398487,2002300010036
-96.7750415198795,16.9678140897394,2002300010036
-96.7751842200048,16.9679544898033,2002300010036
-96.7752781696974,16.9680934201634,2002300010036
-96.7754773795726,16.9682196303263,2002300010036
-96.7757693500096,16.9683587803895,2002300010036
-96.7761369797571,16.9685445799637,2002300010036
-96.776355600018,16.9686408904298,2002300010036
-96.7764946499581,16.9686966598742,2002300010036
-96.7767488499657,16.9687800600481,2002300010036
-96.7767941797429,16.9687984598215,2002300010036
-96.7769679999398,16.9688526803031,2002300010036
-96.7771084803613,16.9688617998489,2002300010036
-96.7772447097907,16.9688960597897,2002300010036
-96.777384479543,16.9689123498112,2002300010036
-96.7775222302438,16.9689404201557,2002300010036
-96.7776599795389,16.9689684298022,2002300010036
-96.7777982200792,16.9689941504284,2002300010036
-96.7779318598057,16.9690368496774,2002300010036
-96.7780648299652,16.9690813698654,2002300010036
-96.7781964200418,16.9691295703632,2002300010036
-96.7783321799625,16.969165510143,2002300010036
-96.7784676495921,16.9692024504117,2002300010036
-96.778594570131,16.9692611195787,2002300010036
-96.7787335499898,16.9692394900823,2002300010036
-96.7788670203594,16.969196349569,2002300010036
-96.779001920161,16.9691575496975,2002300010036
-96.77914045965,16.9691333399406,2002300010036
-96.7792793998741,16.9691553395468,2002300010036
-96.7794045497546,16.9692174001551,2002300010036
-96.77951006,16.9693071403908,2002300010036
-96.7796217697288,16.9693896203363,2002300010036
-96.779734180089,16.9694711997837,2002300010036
-96.7798714898405,16.9695012000034,2002300010036
-96.7800054295348,16.9695429702837,2002300010036
-96.7801418801531,16.9695764295814,2002300010036
-96.7802198004143,16.9695771501422,2002300010036
-96.7802826803254,16.9695777401931,2002300010036
-96.7804232896754,16.9695710200058,2002300010036
-96.7805635501639,16.9695592795892,2002300010036
-96.7807031799798,16.9695417801113,2002300010036
-96.7808434496022,16.9695300198813,2002300010036
-96.7809842498818,16.9695314499737,2002300010036
-96.7811249404067,16.9695260796893,2002300010036
-96.7812651700211,16.9695140602235,2002300010036
-96.7814045997888,16.9694951701403,2002300010036
-96.7815452495608,16.9694889399026,2002300010036
-96.7816237398225,16.969475110442,2002300010036
-96.7816837500335,16.9694645403248,2002300010036
-96.7818244201557,16.9694584902943,2002300010036
-96.7819647497643,16.96944757028,2002300010036
-96.7821055401524,16.969449060393,2002300010036
-96.7822463501152,16.9694503803356,2002300010036
-96.7823870296025,16.9694449497643,2002300010036
-96.7825273196817,16.9694334596652,2002300010036
-96.7826681097224,16.9694354297879,2002300010036
-96.78280805997,16.9694501998699,2002300010036
-96.7829486604495,16.9694576298315,2002300010036
-96.7830881104442,16.9694389403286,2002300010036
-96.7833647801142,16.9693884798982,2002300010036
-96.7835055695599,16.9693910598376,2002300010036
-96.7836427797767,16.969421399932,2002300010036
-96.7836960801855,16.9695428798328,2002300010036
-96.7837345500067,16.9696138502367,2002300010036
-96.7837494596023,16.9696413700209,2002300010036
-96.7838135399027,16.9697574002401,2002300010036
-96.7839980599009,16.9698085799165,2002300010036
-96.7841369704043,16.9698306796157,2002300010036
-96.7842603398125,16.969786719905,2002300010036
-96.784420400034,16.9697779698068,2002300010036
-96.784569579612,16.9697656201497,2002300010036
-96.7847257195755,16.9697812903667,2002300010036
-96.7848884796538,16.9698529797183,2002300010036
-96.7850083803285,16.9698577698589,2002300010036
-96.7851241702128,16.9699044896965,2002300010036
-96.7852614196656,16.9699793802165,2002300010036
-96.7853730896361,16.9700679796717,2002300010036
-96.7854700800908,16.9701669201014,2002300010036
-96.7855785500612,16.9702999100986,2002300010036
-96.7856660795461,16.9704155102604,2002300010036
-96.7857443796544,16.9705189396944,2002300010036
-96.7857922900447,16.97064635018,2002300010036
-96.7858973203524,16.9707365804144,2002300010036
-96.7859814902935,16.970845220399,2002300010036
-96.7860988304218,16.9709201197471,2002300010036
-96.786213710363,16.9709984503413,2002300010036
-96.7863224797337,16.9710845096814,2002300010036
-96.7864539800447,16.9711329201619,2002300010036
-96.7865683995491,16.9712033504053,2002300010036
-96.7866711404104,16.971294799875,2002300010036
-96.7867893399165,16.9713341099567,2002300010036
-96.7868936497416,16.9712924599882,2002300010036
-96.7869680797469,16.9711149101461,2002300010036
-96.7870210195696,16.9709705695475,2002300010036
-96.7871404796358,16.9709005495432,2002300010036
-96.7872790601494,16.9708878000159,2002300010036
-96.7873668904281,16.9709027499764,2002300010036
-96.7874317100346,16.9709138000042,2002300010036
-96.7875853097675,16.9709101398994,2002300010036
-96.7877187204618,16.9709163399889,2002300010036
-96.7878495403603,16.9709727801013,2002300010036
-96.7879804302004,16.9710227504261,2002300010036
-96.7881146903168,16.9710634903345,2002300010036
-96.7883685501225,16.9712330296785,2002300010036
-96.7884956197027,16.9712855703775,2002300010036
-96.788558980473,16.9712422897514,2002300010036
-96.7886436900817,16.9712377097981,2002300010036
-96.7888697502993,16.9713027795937,2002300010036
-96.7891322300125,16.971349109568,2002300010036
-96.7892551402088,16.9713820597448,2002300010036
-96.7894070203401,16.9713995099735,2002300010036
-96.7895305697914,16.9713771399764,2002300010036
-96.7896258498432,16.9713149402329,2002300010036
-96.7896481800616,16.97116104976,2002300010036
